region,section,row_type,level,row_index,description,budget_anterieur,restes_a_realiser_n1,propositions_nouvelles,vote_assemblee,total_budget
Centre,investment_expense,section_header,0,0,DEPENSES D’INVESTISSEMENT,1054041561,0,1189214700,1189214700,1189214700
Centre,investment_expense,data,0,1,90 Opérations ventilées,580112900,0,582838700,582838700,582838700
Centre,investment_expense,data,1,1,- en AP/CP (2),563321900,0,582377700,582377700,582377700
Centre,investment_expense,data,1,1,- hors AP/CP (2),16791000,0,461000,461000,461000
Centre,investment_expense,data,1,1,Dont opérations pour comptes de tiers,0,0,0,0,0
Centre,investment_expense,data,0,2,92 Opérations non ventilées,473928661,0,606376000,606376000,606376000
Centre,investment_expense,data,0,3,001 Solde exécution invest. reporté,0,,0,0,0
Centre,investment_revenue,section_header,0,4,RECETTES D’INVESTISSEMENT,1054041561,0,1189214700,1189214700,1189214700
Centre,investment_revenue,data,0,5,90 Opérations ventilées,226750400,0,242839400,242839400,242839400
Centre,investment_revenue,data,1,5,- Recettes affectées,226750400,0,242839400,242839400,242839400
Centre,investment_revenue,data,1,5,- Financement par le tiers de l’opération confiée à la collectivité,0,0,0,0,0
Centre,investment_revenue,data,0,6,92 Opérations non ventilées (sauf 922-1068),668145000,0,808029000,808029000,808029000
Centre,investment_revenue,data,0,7,954 Produit des cessions d'immobilisations,19130000,0,153000,153000,153000
Centre,investment_revenue,data,0,8,951 Virement de la section de fonctionnement,140016161,,138193300,138193300,138193300
Centre,investment_revenue,data,0,9,922-1068 Excédents de fonctionnement capitalisés,0,,0,0,0
Centre,investment_revenue,data,0,10,001 Solde exécution invest. reporté,0,,0,0,0
Centre,operating_expense,section_header,0,11,DEPENSES DE FONCTIONNEMENT,1591515661,0,1660277000,1660277000,1660277000
Centre,operating_expense,data,0,12,93 Services ventilés,1021584454,0,1022165700,1022165700,1022165700
Centre,operating_expense,data,1,12,- en AE/CP,752592550,0,760997377,760997377,760997377
Centre,operating_expense,data,1,12,- hors AE/CP,268991904,0,261168323,261168323,261168323
Centre,operating_expense,data,0,13,94 Services communs non ventilés,429915046,0,499918000,499918000,499918000
Centre,operating_expense,data,0,14,953 Virement à la section d'investissement,140016161,,138193300,138193300,138193300
Centre,operating_expense,data,0,15,002 Résultat de fonctionnement reporté,0,,0,0,0
Centre,operating_revenue,section_header,0,16,RECETTES DE FONCTIONNEMENT,1591515661,0,1660277000,1660277000,1660277000
Centre,operating_revenue,data,0,17,93 Services ventilés,182390000,0,155319000,155319000,155319000
Centre,operating_revenue,data,0,18,94 Services communs non ventilés,1409125661,0,1504958000,1504958000,1504958000
Centre,operating_revenue,data,0,19,002 Résultat de fonctionnement reporté,0,,0,0,0
Grand Est,investment_expense,section_header,0,0,DEPENSES D’INVESTISSEMENT,2863554063,0,3006367194,3006367194,3006367194
Grand Est,investment_expense,data,0,1,90 Opérations ventilées,1441047872,0,1764640361,1764640361,1764640361
Grand Est,investment_expense,data,1,1,- en AP/CP (2),1332832164,0,1562889361,1562889361,1562889361
Grand Est,investment_expense,data,1,1,- hors AP/CP (2),108215708,0,201751000,201751000,201751000
Grand Est,investment_expense,data,1,1,Dont opérations pour comptes de tiers,12022952,0,13713400,13713400,13713400
Grand Est,investment_expense,data,0,2,92 Opérations non ventilées,1422506191,0,1241726833,1241726833,1241726833
Grand Est,investment_expense,data,0,3,001 Solde exécution invest. reporté,0,,0,0,0
Grand Est,investment_revenue,section_header,0,4,RECETTES D’INVESTISSEMENT,2863554063,0,3006367194,3006367194,3006367194
Grand Est,investment_revenue,data,0,5,90 Opérations ventilées,668385619,0,978590261,978590261,978590261
Grand Est,investment_revenue,data,1,5,- Recettes affectées,663965619,0,970290261,970290261,970290261
Grand Est,investment_revenue,data,1,5,- Financement par le tiers de l’opération confiée à la collectivité,4420000,0,8300000,8300000,8300000
Grand Est,investment_revenue,data,0,6,92 Opérations non ventilées (sauf 922-1068),1871579610,0,1689258397,1689258397,1689258397
Grand Est,investment_revenue,data,0,7,954 Produit des cessions d'immobilisations,1660000,0,2050000,2050000,2050000
Grand Est,investment_revenue,data,0,8,951 Virement de la section de fonctionnement,321928834,,336468536,336468536,336468536
Grand Est,investment_revenue,data,0,9,922-1068 Excédents de fonctionnement capitalisés,0,,0,0,0
Grand Est,investment_revenue,data,0,10,001 Solde exécution invest. reporté,0,,0,0,0
Grand Est,operating_expense,section_header,0,11,DEPENSES DE FONCTIONNEMENT,3328603356,0,3657428319,3657428319,3657428319
Grand Est,operating_expense,data,0,12,93 Services ventilés,2085132262,0,2355763557,2355763557,2355763557
